,Matéria_1,Matéria_2,Matéria_3,Matéria_4,Matéria_5,Matéria_6,Matéria_7,Matéria_8,Matéria_9,Matéria_10,Matéria_11,Matéria_12,Matéria_13,Matéria_14,Matéria_15
Aluno_1,95,89,8,8,90,10,0,100,91,33,54,45,45,94,61
Aluno_2,98,88,4,0,96,93,0,100,51,74,93,57,57,0,55
Aluno_3,91,91,1,2,97,2,100,100,10,60,59,55,52,44,88
Aluno_4,100,100,4,1,93,3,100,0,33,45,24,47,43,55,27
Aluno_5,98,90,8,5,100,3,0,0,88,58,7,59,42,19,94
Aluno_6,97,85,5,3,97,7,100,50,75,98,79,53,37,59,21
Aluno_7,93,96,6,13,2,5,100,0,83,90,14,48,59,48,42
Aluno_8,93,87,3,1,2,96,0,0,37,69,49,46,66,5,43
Aluno_9,95,89,3,6,6,10,0,0,93,56,78,53,62,18,94
Aluno_10,98,95,9,13,4,4,0,100,51,52,66,41,38,36,99
Aluno_11,97,85,6,4,10,1,0,0,48,82,19,54,66,61,100
Aluno_12,98,88,4,10,91,9,0,0,36,46,33,49,43,43,93
Aluno_13,100,99,0,0,97,8,0,100,29,28,57,41,46,81,48
Aluno_14,94,92,3,5,1,9,0,100,92,98,24,51,41,49,64
Aluno_15,99,96,0,2,91,1,0,100,91,85,25,41,64,47,9
Aluno_16,98,100,10,15,3,10,0,100,23,18,91,46,59,66,20
Aluno_17,98,91,6,10,98,92,0,0,3,16,98,40,53,76,77
Aluno_18,97,88,6,10,90,0,0,50,52,80,21,56,60,55,82
Aluno_19,99,98,2,2,100,0,0,100,16,2,90,54,50,75,36
Aluno_20,92,94,9,6,94,3,0,50,76,31,66,47,69,59,97
Aluno_21,90,85,1,3,91,97,0,50,56,54,49,40,67,39,60
Aluno_22,100,86,7,12,2,3,100,100,65,18,13,44,38,62,77
Aluno_23,98,100,8,7,0,1,0,50,19,18,22,44,52,64,8
Aluno_24,92,90,9,13,100,9,100,50,40,7,45,40,60,10,72
Aluno_25,90,98,0,0,8,93,100,0,23,41,89,49,66,4,14
Aluno_26,98,88,7,12,97,7,0,100,87,52,55,53,49,13,31
Aluno_27,90,99,8,1,4,100,0,0,54,76,13,57,66,89,49
Aluno_28,96,98,0,13,96,99,100,0,68,15,8,49,47,14,96
Aluno_29,90,99,8,8,97,5,100,100,91,62,83,48,56,91,96
Aluno_30,96,89,8,7,5,6,0,50,18,46,32,48,63,95,64
Aluno_31,91,90,6,0,95,6,100,0,73,34,84,54,50,24,76
Aluno_32,99,92,10,4,95,99,0,0,27,36,69,52,38,40,87
Aluno_33,98,100,8,11,9,8,100,0,57,29,58,48,67,34,17
Aluno_34,95,87,3,13,5,92,100,100,56,40,85,58,47,78,71
Aluno_35,95,95,3,13,8,100,0,100,17,44,46,55,68,63,14
Aluno_36,93,86,3,5,92,2,0,100,82,69,51,46,54,46,16
Aluno_37,95,96,7,7,93,4,100,0,85,92,62,45,41,12,41
Aluno_38,97,97,3,2,96,3,0,100,62,19,35,55,42,54,84
